  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
   304.0  15.382  34.568  213.71  0.0468  0.2343  94.310      18  2222222
   305.0  15.312  34.558  213.29  0.0475  0.2343  94.310      17  2222222
   306.0  15.243  34.554  213.46  0.0467  0.2343  94.310      16  2222222
   307.0  15.175  34.546  214.09  0.0464  0.2348  94.299      21  2222222
   308.0  15.108  34.541  214.06  0.0472  0.2343  94.310      43  2222222
   309.0  15.138  34.541  213.74  0.0473  0.2347  94.301      69  2222222
   310.0  15.085  34.536  213.65  0.0469  0.2346  94.303      22  2222222
   311.0  15.026  34.527  214.23  0.0462  0.2344  94.309      17  2222222
   312.0  14.987  34.525  214.30  0.0475  0.2344  94.309      15  2222222
   313.0  14.966  34.521  213.97  0.0475  0.2348  94.298      14  2222222
   314.0  14.925  34.517  213.86  0.0466  0.2344  94.308      13  2222222
   315.0  14.855  34.508  213.68  0.0475  0.2343  94.310      16  2222222
   316.0  14.697  34.495  213.77  0.0475  0.2343  94.311      26  2222222
   317.0  14.727  34.496  214.25  0.0471  0.2338  94.323      83  2222222
   318.0  14.612  34.484  214.49  0.0470  0.2343  94.311      27  2222222
   319.0  14.541  34.481  214.84  0.0468  0.2337  94.324      18  2222222
   320.0  14.524  34.478  215.05  0.0469  0.2342  94.311      19  2222222
   321.0  14.514  34.477  215.01  0.0475  0.2339  94.320      18  2222222
   322.0  14.488  34.473  214.94  0.0475  0.2337  94.324      19  2222222
   323.0  14.424  34.465  215.16  0.0469  0.2337  94.324      21  2222222
   324.0  14.339  34.461  215.20  0.0471  0.2341  94.316      28  2222222
   325.0  14.303  34.459  215.19  0.0493  0.2333  94.335      46  2222222
   326.0  14.207  34.452  216.39  0.0515  0.2333  94.336      44  2222222
   327.0  14.144  34.448  217.19  0.0475  0.2333  94.334      23  2222222
   328.0  14.138  34.447  217.25  0.0468  0.2336  94.326      18  2222222
   329.0  14.133  34.446  217.47  0.0467  0.2336  94.326      15  2222222
   330.0  14.124  34.445  217.61  0.0467  0.2334  94.331      15  2222222
   331.0  14.117  34.445  217.72  0.0468  0.2337  94.326      17  2222222
   332.0  14.110  34.444  217.62  0.0469  0.2341  94.315      22  2222222
   333.0  14.107  34.444  217.65  0.0461  0.2334  94.331      42  2222222
   334.0  14.107  34.442  217.67  0.0475  0.2333  94.335      63  2222222
   335.0  14.096  34.442  218.30  0.0471  0.2332  94.337      30  2222222
   336.0  14.079  34.439  219.11  0.0469  0.2343  94.310      22  2222222
   337.0  14.020  34.432  219.66  0.0456  0.2338  94.324      18  2222222
   338.0  13.959  34.428  219.70  0.0467  0.2334  94.333      15  2222222
   339.0  13.904  34.422  219.86  0.0460  0.2334  94.333      15  2222222
   340.0  13.770  34.407  220.04  0.0460  0.2333  94.335      15  2222222
   341.0  13.577  34.394  220.27  0.0475  0.2334  94.332      21  2222222
   342.0  13.563  34.393  219.89  0.0465  0.2334  94.332      72  2222222
   343.0  13.505  34.384  220.05  0.0475  0.2333  94.335      27  2222222
   344.0  13.406  34.380  220.49  0.0469  0.2331  94.338      20  2222222
   345.0  13.390  34.378  220.14  0.0462  0.2334  94.333      18  2222222
   346.0  13.383  34.377  219.91  0.0475  0.2334  94.333      19  2222222
   347.0  13.379  34.376  219.79  0.0469  0.2332  94.336      19  2222222
   348.0  13.377  34.375  219.79  0.0471  0.2333  94.335      28  2222222
   349.0  13.374  34.374  220.35  0.0470  0.2329  94.345      50  2222222
   350.0  13.357  34.372  220.74  0.0475  0.2331  94.339      32  2222222
   351.0  13.302  34.366  220.91  0.0470  0.2327  94.350      23  2222222
   352.0  13.253  34.363  221.18  0.0469  0.2332  94.336      20  2222222
   353.0  13.177  34.359  221.57  0.0469  0.2330  94.342      21  2222222
   354.0  13.151  34.358  221.86  0.0470  0.2326  94.352      23  2222222
   355.0  13.126  34.355  222.11  0.0459  0.2325  94.354      22  2222222
   356.0  13.085  34.353  221.36  0.0471  0.2326  94.352      30  2222222
   357.0  13.044  34.350  221.55  0.0466  0.2326  94.353      41  2222222
   358.0  12.988  34.345  222.46  0.0467  0.2324  94.357      29  2222222
   359.0  12.940  34.342  222.66  0.0461  0.2330  94.341      25  2222222
   360.0  12.913  34.340  222.70  0.0464  0.2326  94.351      21  2222222
